source,listing_url,model,year,age,mileage,price_rm,transmission,fuel_type,engine_size,variant,location,seller_type,posted_at,scraped_at
carlist,https://www.carlist.my/used-cars/2023-mercedes-benz-c200-1-5-avantgarde-sedan-w206-mileage-19k-km-only-full-service-record-nz-wheels-under-mers-warranty-till-may-2027-tiptop/19137839,C_CLASS,2023,3,17500,179800,Automatic,Petrol,,C200,Selangor,dealer,,2026-07-03T18:33:57.786311
carlist,https://www.carlist.my/used-cars/2017-18-mercedes-benz-c200-2-0-amg-line-edition-sedan/19142107,C_CLASS,2017,9,107500,82800,Automatic,Petrol,,C200,Johor,dealer,,2026-07-03T18:33:57.786311
carlist,https://www.carlist.my/used-cars/2020-mercedes-benz-c200-2-0-amg-line-edition-sedan/19122840,C_CLASS,2020,6,62500,131800,Automatic,Petrol,,C200,Johor,dealer,,2026-07-03T18:33:57.786311
carlist,https://www.carlist.my/used-cars/2019-mercedes-benz-c200-1-5-avantgarde-amg-line-edition-sedan/19142153,C_CLASS,2019,7,72500,111800,Automatic,Petrol,,C200,Johor,dealer,,2026-07-03T18:33:57.786311
carlist,https://www.carlist.my/used-cars/2010-mercedes-benz-c200-1-8-a-amg-full-spec/19088145,C_CLASS,2010,16,152500,29800,Automatic,Petrol,,C200,Kuala Lumpur,dealer,,2026-07-03T18:33:57.786311
carlist,https://www.carlist.my/recon-cars/2020-mercedes-benz-c200-wagon/18115923,C_CLASS,2020,6,32500,170000,Automatic,Petrol,,C200,Selangor,dealer,,2026-07-03T18:33:57.786311
carlist,https://www.carlist.my/used-cars/2018-mercedes-benz-c200-1-5-avantgarde-sedan/19140356,C_CLASS,2018,8,79800,85800,Automatic,Petrol,,C200,Selangor,dealer,,2026-07-03T18:33:57.786311
carlist,https://www.carlist.my/recon-cars/2023-mercedes-benz-c200-1-5-avantgarde-amg-isg-sedan-full-spec-2-memory-seat-panaromic-sunroof-power-boot-hud-360-camera-burmester-system-unreg/19046563,C_CLASS,2023,3,32500,228000,Automatic,Petrol,,C200,Kuala Lumpur,dealer,,2026-07-03T18:33:57.785311
carlist,https://www.carlist.my/used-cars/2019-mercedes-benz-c200-1-5-avantgarde-full-service-record-sedan/18858737,C_CLASS,2019,7,122500,92800,Automatic,Petrol,,C200,Kuala Lumpur,dealer,,2026-07-03T18:33:57.785311
carlist,https://www.carlist.my/used-cars/2015-japan-spec-mercedes-benz-c200-2-0-amg-line-coupe/19087553,C_CLASS,2015,11,162500,65800,Automatic,Petrol,,C200,Johor,dealer,,2026-07-03T18:33:57.785311
carlist,https://www.carlist.my/used-cars/2017-mercedes-benz-c200-2-0-exclusive-a-sedan-w205/18870393,C_CLASS,2017,9,82500,63800,Automatic,Petrol,,C200,Kuala Lumpur,dealer,,2026-07-03T18:33:57.785311
carlist,https://www.carlist.my/recon-cars/2021-mercedes-benz-c200-1-5-laureus-amg-line-sedan-low-mileage-car-grade-4-5-super-offer-promotion-ready-stock/19061242,C_CLASS,2021,5,22500,155000,Automatic,Petrol,,C200,Kuala Lumpur,dealer,,2026-07-03T18:33:57.785311
carlist,https://www.carlist.my/recon-cars/2021-mercedes-benz-c200-1-5-laureus-amg-line-sedan-promotion-red-leather-seat-burmester-4-camera-hud/19061016,C_CLASS,2021,5,22500,162000,Automatic,Petrol,,C200,Kuala Lumpur,dealer,,2026-07-03T18:33:57.785311
