source,listing_url,specific model of the car,gear type/transmission,mileage,fuel type,year of the car,price (RM),variant,location,seller_type,posted_at,scraped_at
carlist,https://www.carlist.my/recon-cars/2023-mercedes-benz-c200-1-5-avantgarde-amg-isg-sedan-full-spec-2-memory-seat-panaromic-sunroof-power-boot-hud-360-camera-burmester-system-unreg/19046563,C_CLASS C200,Automatic,12000,Petrol,2023,228000,C200,Kuala Lumpur,dealer,2026-07-02,2026-07-03T19:08:13.853363
carlist,https://www.carlist.my/used-cars/2023-mercedes-benz-c200-1-5-avantgarde-sedan-w206-mileage-19k-km-only-full-service-record-nz-wheels-under-mers-warranty-till-may-2027-tiptop/19137839,C_CLASS C200,Automatic,17500,Petrol,2023,179800,C200,Selangor,dealer,,2026-07-03T18:33:57.786311
carlist,https://www.carlist.my/used-cars/2017-18-mercedes-benz-c200-2-0-amg-line-edition-sedan/19142107,C_CLASS C200,Automatic,107500,Petrol,2017,82800,C200,Johor,dealer,,2026-07-03T18:33:57.786311
carlist,https://www.carlist.my/used-cars/2020-mercedes-benz-c200-2-0-amg-line-edition-sedan/19122840,C_CLASS C200,Automatic,62500,Petrol,2020,131800,C200,Johor,dealer,,2026-07-03T18:33:57.786311
carlist,https://www.carlist.my/used-cars/2019-mercedes-benz-c200-1-5-avantgarde-amg-line-edition-sedan/19142153,C_CLASS C200,Automatic,72500,Petrol,2019,111800,C200,Johor,dealer,,2026-07-03T18:33:57.786311
carlist,https://www.carlist.my/used-cars/2010-mercedes-benz-c200-1-8-a-amg-full-spec/19088145,C_CLASS C200,Automatic,152500,Petrol,2010,29800,C200,Kuala Lumpur,dealer,,2026-07-03T18:33:57.786311
carlist,https://www.carlist.my/recon-cars/2020-mercedes-benz-c200-wagon/18115923,C_CLASS C200,Automatic,32500,Petrol,2020,170000,C200,Selangor,dealer,,2026-07-03T18:33:57.786311
carlist,https://www.carlist.my/used-cars/2018-mercedes-benz-c200-1-5-avantgarde-sedan/19140356,C_CLASS C200,Automatic,79800,Petrol,2018,85800,C200,Selangor,dealer,,2026-07-03T18:33:57.786311
carlist,https://www.carlist.my/used-cars/2019-mercedes-benz-c200-1-5-avantgarde-full-service-record-sedan/18858737,C_CLASS C200,Automatic,122500,Petrol,2019,92800,C200,Kuala Lumpur,dealer,,2026-07-03T18:33:57.785311
carlist,https://www.carlist.my/used-cars/2015-japan-spec-mercedes-benz-c200-2-0-amg-line-coupe/19087553,C_CLASS C200,Automatic,162500,Petrol,2015,65800,C200,Johor,dealer,,2026-07-03T18:33:57.785311
carlist,https://www.carlist.my/used-cars/2017-mercedes-benz-c200-2-0-exclusive-a-sedan-w205/18870393,C_CLASS C200,Automatic,82500,Petrol,2017,63800,C200,Kuala Lumpur,dealer,,2026-07-03T18:33:57.785311
carlist,https://www.carlist.my/recon-cars/2021-mercedes-benz-c200-1-5-laureus-amg-line-sedan-low-mileage-car-grade-4-5-super-offer-promotion-ready-stock/19061242,C_CLASS C200,Automatic,22500,Petrol,2021,155000,C200,Kuala Lumpur,dealer,,2026-07-03T18:33:57.785311
carlist,https://www.carlist.my/recon-cars/2021-mercedes-benz-c200-1-5-laureus-amg-line-sedan-promotion-red-leather-seat-burmester-4-camera-hud/19061016,C_CLASS C200,Automatic,22500,Petrol,2021,162000,C200,Kuala Lumpur,dealer,,2026-07-03T18:33:57.785311
carlist,https://www.carlist.my/used-cars/2009-mercedes-benz-c200-1-8-kompressor/18980582,C_CLASS C200,Automatic,87500,Petrol,2009,21800,C200,Selangor,dealer,,2026-07-03T18:33:57.785311
carlist,https://www.carlist.my/recon-cars/clearance-gaox2-rebate-2021-mercedes-benz-c200-2-0-amg-premium/18818540,C_CLASS C200,Automatic,7500,Petrol,2021,155000,C200,Kuala Lumpur,dealer,,2026-07-03T18:33:57.785311
carlist,https://www.carlist.my/used-cars/2022-mercedes-benz-c200-1-5-avantgarde-a/19136154,C_CLASS C200,Automatic,42500,Petrol,2022,169000,C200,Penang,dealer,,2026-07-03T18:33:57.785311
carlist,https://www.carlist.my/new-cars/2026-mercedes-benz-c200-1-5-amg-line-sedan-with-4-years-free-service/18971238,C_CLASS C200,Automatic,0,Petrol,2026,240332,C200,Selangor,dealer,,2026-07-03T18:33:57.785311
carlist,https://www.carlist.my/used-cars/2021-mercedes-benz-c200-1-5-avantgarde-sedan/19022554,C_CLASS C200,Automatic,62500,Petrol,2021,166000,C200,Kuala Lumpur,dealer,,2026-07-03T18:33:57.785311
carlist,https://www.carlist.my/used-cars/2020-mercedes-benz-c200-2-0-amg-line-sedan/18743455,C_CLASS C200,Automatic,77500,Petrol,2020,123800,C200,Johor,dealer,,2026-07-03T18:33:57.785311
