"specific model of the car","engine type","engine cc","engine aspiration","gear type/transmission","number of gears","top speed (km/h)","front brakes","rear brakes","front suspension","rear suspension","boot space (litres)","seat capacity","number of doors","torque (Nm)","time for 0-100 km/h (s)","mileage","fuel type","year of the car","price (RM)"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","12000","Mild Hybrid / Petrol","2023","228000"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","17500","Mild Hybrid / Petrol","2023","179800"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","107500","Petrol","2017","82800"
"C_CLASS C200","","","","","","","","","","","","","","","","62500","","2020","131800"
"C_CLASS C200","","","","","","","","","","","","","","","","72500","","2019","111800"
"C_CLASS C200","","","","","","","","","","","","","","","","152500","","2010","29800"
"C_CLASS C200","","","","","","","","","","","","","","","","32500","","2020","170000"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","79800","Petrol","2018","85800"
"C_CLASS C200","","","","","","","","","","","","","","","","122500","","2019","92800"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","162500","Petrol","2015","65800"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","82500","Petrol","2017","63800"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","22500","Mild Hybrid / Petrol","2021","155000"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","22500","Mild Hybrid / Petrol","2021","162000"
"C_CLASS C200","","","","","","","","","","","","","","","","87500","","2009","21800"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","7500","Mild Hybrid / Petrol","2021","155000"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","42500","Mild Hybrid / Petrol","2022","169000"
"Mercedes Benz Class C (W206) 200 4MATIC 9G-TRONIC Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","241","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.1","0","Mild Petrol","2026","240332"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","62500","Mild Hybrid / Petrol","2021","166000"
"C_CLASS C200","","","","","","","","","","","","","","","","77500","","2020","123800"
"C_CLASS C200","","","","","","","","","","","","","","","","72500","","2019","98800"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","92500","Petrol","2016","67800"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","7500","Mild Hybrid / Petrol","2022","212000"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","42500","Petrol","2018","103800"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","57500","Petrol","2016","82800"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","37500","Mild Hybrid / Petrol","2022","158500"
"C_CLASS C200","","","","","","","","","","","","","","","","37499","","2020","149000"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","37499","Mild Hybrid / Petrol","2022","158500"
"C_CLASS C200","","","","","","","","","","","","","","","","124999","","2019","85000"
"C_CLASS C200","","","","","","","","","","","","","","","","87499","","2019","104800"
"C_CLASS C200","","","","","","","","","","","","","","","","114999","","2019","84800"
"C_CLASS C200","","","","","","","","","","","","","","","","87499","","2020","99800"
"C_CLASS C200","","","","","","","","","","","","","","","","87499","","2020","99800"
"C_CLASS C200","","","","","","","","","","","","","","","","97499","","2019","90800"
"C_CLASS C200","","","","","","","","","","","","","","","","97499","","2019","90800"
"C_CLASS C200","","","","","","","","","","","","","","","","154999","","2010","18000"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","92499","Petrol","2016","59800"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","42499","Petrol","2018","103800"
