specific model of the car,engine type,engine cc,engine aspiration,gear type/transmission,number of gears,top speed (km/h),front brakes,rear brakes,front suspension,rear suspension,boot space (litres),seat capacity,number of doors,torque (Nm),time for 0-100 km/h (s),mileage,fuel type,year of the car,price (RM),source listing_url,specs source_url,match_confidence
Mercedes Benz Class C (W206) 200 Specs,Inline 4,1496,Turbo Intercooler,9 speed Automatic,9,246,Vented Discs,Discs,Independent. MacPherson. Coil Springs. Anti-roll bar.,Multi-link. Coil Springs. Anti-roll bar.,455,5,4,300,7.3,12000,Mild Hybrid / Petrol,2023,228000,https://www.carlist.my/recon-cars/2023-mercedes-benz-c200-1-5-avantgarde-amg-isg-sedan-full-spec-2-memory-seat-panaromic-sunroof-power-boot-hud-360-camera-burmester-system-unreg/19046563,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/127265/Mercedes-Benz-Class-C-(W206)-200.html,exact
Mercedes Benz Class C (W206) 200 Specs,Inline 4,1496,Turbo Intercooler,9 speed Automatic,9,246,Vented Discs,Discs,Independent. MacPherson. Coil Springs. Anti-roll bar.,Multi-link. Coil Springs. Anti-roll bar.,455,5,4,300,7.3,17500,Mild Hybrid / Petrol,2023,179800,https://www.carlist.my/used-cars/2023-mercedes-benz-c200-1-5-avantgarde-sedan-w206-mileage-19k-km-only-full-service-record-nz-wheels-under-mers-warranty-till-may-2027-tiptop/19137839,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/127265/Mercedes-Benz-Class-C-(W206)-200.html,exact
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,107500,Petrol,2017,82800,https://www.carlist.my/used-cars/2017-18-mercedes-benz-c200-2-0-amg-line-edition-sedan/19142107,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
C_CLASS C200,,,,,,,,,,,,,,,,62500,,2020,131800,https://www.carlist.my/used-cars/2020-mercedes-benz-c200-2-0-amg-line-edition-sedan/19122840,,unmatched
C_CLASS C200,,,,,,,,,,,,,,,,72500,,2019,111800,https://www.carlist.my/used-cars/2019-mercedes-benz-c200-1-5-avantgarde-amg-line-edition-sedan/19142153,,unmatched
C_CLASS C200,,,,,,,,,,,,,,,,152500,,2010,29800,https://www.carlist.my/used-cars/2010-mercedes-benz-c200-1-8-a-amg-full-spec/19088145,,unmatched
C_CLASS C200,,,,,,,,,,,,,,,,32500,,2020,170000,https://www.carlist.my/recon-cars/2020-mercedes-benz-c200-wagon/18115923,,unmatched
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,79800,Petrol,2018,85800,https://www.carlist.my/used-cars/2018-mercedes-benz-c200-1-5-avantgarde-sedan/19140356,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
C_CLASS C200,,,,,,,,,,,,,,,,122500,,2019,92800,https://www.carlist.my/used-cars/2019-mercedes-benz-c200-1-5-avantgarde-full-service-record-sedan/18858737,,unmatched
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,162500,Petrol,2015,65800,https://www.carlist.my/used-cars/2015-japan-spec-mercedes-benz-c200-2-0-amg-line-coupe/19087553,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
